Bache profundo en carril derecho
Bache pequeño con riesgo para motos.;bache
Bache muy grande que daña suspensión de vehículos.;bache
Grupo de baches en sector con alta circulación.;bache
Bache con agua acumulada
Bache irregular con bordes afilados.;bache
Pequeña grieta que se ha vuelto un bache.;bache
Bache cubierto por hojas
Bache con piedras sueltas alrededor.;bache
Bache profundo con charco permanente.;bache
Bache múltiple en curva peligrosa.;bache
Bache con borde colapsado
Bache reciente
Bache de tamaño mediano con fondo arenoso.;bache
Bache con daños en la base del pavimento.;bache
Superficie del bache áspera y llena de grietas.;bache
Bache largo y estrecho
Bache con extensión irregular
Bache con pavimento hundido alrededor.;bache
Bache en zona de paso peatonal.;bache
Bache con látigo laterales
Bache cubierto de alquitrán viejo.;bache
Bache en subida pronunciada
Bache ubicado cerca de cruce de calles.;bache
Bache cercano a señalización vial daña vehículos.;bache
Bache con exposición de tierra bajo el asfalto.;bache
Bache ubicado en zona escolar
Pequeños baches agrupados en el mismo sector.;bache
Bache con gran acumulación de agua y barro.;bache
Bache de forma ovalada
Bache profundo con desprendimiento de los bordes.;bache
Bache con afloramiento de raíces de árbol cercano.;bache
Bache con fragmentos sueltos de pavimento.;bache
Bache en zona de hospital
Bache con grietas radiales alrededor.;bache
Bache con hundimiento progresivo.;bache
Bache ubicado en la entrada de estacionamiento.;bache
Bache extenso afectando varios metros de vía.;bache
Bache cubierto parcialmente por arena o tierra.;bache
Bache con bordes con material suelto y peligroso.;bache
Bache con fondo irregular
Bache cerca de paradero de buses.;bache
Bache de gran tamaño con riesgo para vehículos grandes.;bache
Bache ubicado en carretera rural sin señalización.;bache
Bache con bordes quebrados y material desintegrado.;bache
Bache ubicado en zona residencial muy transitada.;bache
Bache con riesgo para motos que suben la cuesta.;bache
Bache con charco de aceite y agua mezclados.;bache
Bache ubicado en avenida principal
Bache con pavimento levantado alrededor.;bache
Bache con material descompuesto en fondo.;bache
Bache ubicado en intersección sin semáforos.;bache
Bache con grava suelta
Bache con grietas expansivas a su alrededor.;bache
Bache en zona comercial
Bache con bordes agujereados y deformados.;bache
Bache amplio con gran irregularidad en superficie.;bache
Bache con riesgo para ciclistas que no se espera.;bache
Bache con golpes visibles en carros que pasan.;bache
Bache ubicado en curva peligrosa con mala visibilidad.;bache
Bache reciente tras reparaciones insuficientes.;bache
Bache con tierra acumulada dificultando su percepción.;bache
Bache que se llena rápidamente tras lluvias.;bache
Bache ubicado en autopista con alta velocidad.;bache
Bache con bordes deshilachados y grandes fisuras.;bache
Bache cercano a zona de juegos infantiles.;bache
Bache con material compactado pero hundido.;bache
Bache grande que cruza todo un carril.;bache
Bache parcialmente cubierto por hojas y basura.;bache
Bache con fondo blando y lodoso.;bache
Bache con daño visible en base del pavimento.;bache
Bache de tamaño considerable con borde claramente delimitado.;bache
Bache ubicado cerca de monumento público.;bache
Bache con restos de reparación previa inesfectiva.;bache
Bache con piedras sueltas y tierra mojada.;bache
Bache ubicado en zona de fabricación industrial.;bache
Bache con borde colapsado y fragmentos dispersos.;bache
Bache con acumulación de residuos plásticos.;bache
Bache profundo y oscuro por falta de luz.;bache
Bache con agua estancada y mal olor.;bache
Bache ubicado en calle con alto tránsito peatonal.;bache
Bache con fragmentos de pavimento desprendidos.;bache
Bache en zona de parque público.;bache
Bache con bordes muy agudos
Bache que que ha provocado caída de motociclista.;bache
Bache ubicado en zona universitaria.;bache
Bache con rompimiento del círculo completo del pavimento.;bache
Bache con marcas de reparación falsas.;bache
Bache ubicado en vía con señalización insuficiente.;bache
Bache con grietas en forma de red a su alrededor.;bache
Bache cubierto parcialmente por polvo seco.;bache
Bache con fondo arcilloso y resbaladizo.;bache
Bache con bordes parcialmente cubiertos de tierra.;bache
Bache en callejón con iluminación deficiente.;bache
Bache con agua y barro acumulado en fondo.;bache
Bache ubicado en zona con frecuente tránsito de camiones.;bache
Bache con material granulado y borde debilitado.;bache
Bache de forma irregular con varias hendiduras.;bache
Bache importante en sector de alta velocidad.;bache
Bache con peligro de colapso del pavimento circundante.;bache
Acumulación de botellas plásticas y latas en la cuneta.;basura
;basura
Montón de bolsas de basura tiradas cerca de la vía.;basura
;basura
Papel y cartón esparcidos a lo largo del borde de la carretera.;basura
;basura
Residuos plásticos atrapados entre la maleza del arcén.;basura
;basura
Restos de comida y envoltorios junto a señalización vial.;basura
;basura
Acumulación de neumáticos viejos abandonados a un costado.;basura
;basura
Montones de restos de poda y ramas en zona de parque.;basura
;basura
Bolsas plásticas atoradas en malla metálica de puente peatonal.;basura
;basura
Botellas de vidrio rotas entre la basura acumulada.;basura
;basura
Acumulación de latas y envases metálicos junto a paradero.;basura
;basura
Desechos de construcción
;basura
Montón de basura orgánica en zona de descanso para camioneros.;basura
;basura
Restos de papel y colillas de cigarro esparcidos por el camino.;basura
;basura
Residuos plásticos mezclados con tierra y hojas secas.;basura
;basura
Basura acumulada en alcantarilla
;basura
Bolsas de basura abiertas con residuos esparcidos por el viento.;basura
;basura
Acumulación de residuos sólidos urbanos mezclados con partes metálicas.;basura
;basura
Desechos plásticos pegados a las paredes del túnel vial.;basura
;basura
Restos de comida
;basura
Montón de plásticos y papeles acumulados en curva peligrosa.;basura
;basura
Residuos de vidrio y plástico dentro de cuneta con agua estancada.;basura
;basura
Restos de cartón mojados y descompuestos en zona arborizada.;basura
;basura
Acumulación de desperdicios al costado de base de señal vial.;basura
;basura
Basura plástica atrapada cerca de árboles y maleza en vía.;basura
;basura
Montón de basura mezclada con lodo y piedras cerca de puente.;basura
;basura
Desechos de neumáticos y plásticos quemados en zona descampada.;basura
;basura
Acumulación avanzada de basura
;basura
Restos de comida y envoltorios esparcidos tras día de mercado.;basura
;basura
Montón de bolsas plásticas atascadas en rejilla de drenaje.;basura
;basura
Desechos en cuneta con mezcla de papeles
;basura
Residuos plásticos acumulados en zona de alto tránsito peatonal.;basura
;basura
Basura acumulada que impide el acceso a la cuneta.;basura
;basura
Montón de materiales no biodegradables en área rural.;basura
;basura
